청구일,종목명,상태,자본금(백만),매출액(백만),당기순이익(백만),주간사,주업종,수요예측일,희망공모가(원),확정공모가,공모금액(백만),예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,공모주일정,희망공모가,청약경쟁률,분석,신규상장일,현재가(원),전일비(%),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원),
2022/01/25,쓰리디팩토리,,"1,449","11,435",-96,NH투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2022/01/12,미래에셋비전스팩1호,,32,0,-14,미래에셋증권,기타 금융업,,,,,,,,,,,,,,,,,,,,,,
2022/01/06,샤페론,,"9,701",0,"-26,543",NH투자증권,기초 의약물질 및 생물학적 제제,,,,,,,,,,,,,,,,,,,,,,
2022/01/05,SK쉴더스(유가),,"37,942","305,122","21,833","NH투자증권,KB증권","경비, 경호 및 탐정업",,,,,,,,,,,,,,,,,,,,,,
2022/01/05,쏘카(유가),,"2,879","261,824","-67,745",미래에셋증권,운송장비 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/12/23,키움스팩6호,,23,0,0,키움증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/12/23,가온칩스,,"4,714","17,098","1,852",대신증권,반도체 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/22,에이치피에스피,,"8,354","61,174","17,658",NH투자증권,특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/21,핀텔,,"3,948","4,886",-24,대신증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/12/21,교보생명보험(유가),,"102,500","15,708,927","382,865",NH투자증권,보험업,,,,,,,,,,,,,,,,,,,,,,
2021/12/17,유진스팩8호,승인,92,0,0,유진투자증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/12/17,미코세라믹스,,"2,723","67,615","9,389",KB증권,반도체 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/17,영창케미칼,,"8,056","60,760","2,506",하나금융투자,기타 화학제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/16,알피바이오,,"3,421","97,923","4,616",한국투자증권,의약품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/15,위니아에이드,,"4,982","418,527","24,895",신한금융투자,기타 운송관련 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/12/13,현대오일뱅크(유가),,"1,225,412","12,491,005","-457,484","NH투자증권,KB증권,CS증권",석유 정제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/03,코난테크놀로지,,"2,222","14,001","1,488",한국투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/12/03,포바이포,,"4,290","13,993","1,354",미래에셋증권,"영화, 비디오물, 방송프로그램 제",,,,,,,,,,,,,,,,,,,,,,
2021/12/02,신한서부티엔디리츠(유가),상장,"55,955",0,0,,비주거용 건물 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/11/26,루닛,,"5,454","1,430","-83,739",NH투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/11/26,원스토어(유가),,"10,959","155,218","1,952","KB증권,NH투자증권,SK증권",기타 정보 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,미래에셋글로벌리츠(유가),상장,"29,360",0,0,,부동산 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/11/23,한국스팩10호,승인,40,0,0,한국투자증권,금융 지원 서비스업,2022.01.25~01.26,"2,000~2,000",-,"9,000",,,,,,,2022.02.10~02.11,"2,000~2,000",,,,,,,,,,
2021/11/18,SK증권스팩7호,승인,62,0,0,SK증권,기타 금융업,2022.02.16~02.17,"2,000~2,000",-,"6,000",,,,,,,2022.02.22~02.23,"2,000~2,000",,,,,,,,,,
2021/11/15,비플라이소프트,,"2,732","24,386","-3,424",IBK투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/11/15,신한스팩9호,,53,0,0,신한금융투자,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,청담글로벌,,"7,662","70,387",849,"KB증권,대신증권",생활용품 도매업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,파인메딕스,철회,499,"7,910",-680,한국투자증권,의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,트레져헌터,,"3,771","26,481","-6,232",대신증권,"영화, 비디오물, 방송프로그램 제",,,,,,,,,,,,,,,,,,,,,,
2021/11/12,넥스트칩,,"7,353","10,383","-13,496",대신증권,반도체 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,세아메카닉스,승인,"2,184","82,695","4,254",신한금융투자,기타 금속 가공제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,NH올원리츠(유가),상장,"21,100",0,0,한국투자증권,부동산 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,성일하이텍,,"4,602","65,939","-2,998","대신증권,KB증권",기초 화학물질 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,애니메디솔루션,,"5,074",132,"-4,555",NH투자증권,의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/08,이뮨메드,,"7,253",320,"-17,182","대신증권,미래에셋증권,KB증권",의료용품 및 기타 의약 관련제품,,,,,,,,,,,,,,,,,,,,,,
2021/11/03,넥스트바이오메디컬,,"3,420","2,261","-24,477",한국투자증권,의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/02,하나금융스팩21호,승인,141,0,0,하나금융투자,금융 지원 서비스업,2022.02.09~02.10,"2,000~2,000",-,"12,000",,,,,,,2022.02.15~02.16,"2,000~2,000",,,,,,,,,,
2021/11/02,에이프릴바이오,,"9,179",0,"-10,220",NH투자증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/10/28,범한퓨얼셀,,"3,300","31,900","3,457",NH투자증권,"전동기, 발전기 및 전기 변환 ·",,,,,,,,,,,,,,,,,,,,,,
2021/10/28,에이엘티,,"3,781","30,699","9,773",미래에셋증권,전자부품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/10/27,IBKS스팩17호,승인,22,0,0,IBK투자증권,금융 지원 서비스업,2022.02.03~02.04,"2,000~2,000",-,"5,000",,,,,,,2022.02.08~02.09,"2,000~2,000",,,,,,,,,,
2021/10/27,선바이오,,"5,841","5,459","1,202",하나금융투자,의약품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/10/22,디비금융스팩10호,상장,584,0,0,DB금융투자,기타 금융업,2022.01.06~01.07,"2,000~2,000","2,000","10,000",2022.01.06,"2,000~2,000","2,000","10,000",,-,2022.01.10~01.11,"2,000~2,000",234.95:1,,2022/01/20,"2,135",0.47%,6.75%,"2,075",3.75%,"2,115",
2021/10/18,디앤디파마텍,,"4,422",89,"-11,235",한국투자증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/10/14,하나금융스팩20호,상장,305,0,0,하나금융투자,금융 지원 서비스업,2021.12.13~12.14,"2,000~2,000","2,000","6,000",2021.12.13,"2,000~2,000","2,000","6,000",,-,2021.12.16~12.17,"2,000~2,000",339.28:1,,2021/12/27,"2,730",-5.21%,36.5%,"2,130",6.5%,"2,135",
2021/10/14,대명에너지,승인,"1,500","159,386","8,132","한국투자증권,삼성증권",건물 건설업,,,,,,,,,,,,,,,,,,,,,,
2021/10/13,퓨쳐메디신,,"4,637",0,"-10,502",NH투자증권,의학 및 약학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
